Region,Month,Units_Sold,Revenue_EUR,GDP_Growth,Fuel_Price_Index
China,1,442948,29095470709,2.1375,1.17625
China,2,477801,30712177879,3.5775,1.18125
China,3,627082,40184671375,3.7125,1.14625
China,4,534714,34360377026,2.97375,1.185
China,5,499548,32234774377,2.9775,1.18875
China,6,573583,36396050337,2.37,1.1712500000000001
China,7,507675,32388296851,2.2825,1.16875
China,8,486182,30777607893,2.3362499999999997,1.175
China,9,541700,35319077041,3.37125,1.1725
China,10,489347,31415137367,3.2125,1.1575
China,11,496380,31881409618,2.7375,1.16125
China,12,579790,36989970010,2.8512500000000003,1.1575
Europe,1,441666,28069591732,3.1975,1.17
Europe,2,463196,29878958540,3.92875,1.1837499999999999
Europe,3,556463,35905439625,3.475,1.16375
Europe,4,498314,32151462281,3.1,1.1725
Europe,5,488633,31355181027,2.9625,1.1712500000000001
Europe,6,547256,35401132293,3.23875,1.1600000000000001
Europe,7,482097,30827529083,2.9775,1.1775
Europe,8,496639,32482372986,3.36375,1.17875
Europe,9,530161,33882183656,3.3287500000000003,1.1775
Europe,10,445605,27978908794,3.1712499999999997,1.18125
Europe,11,479225,31163097075,2.7424999999999997,1.1724999999999999
Europe,12,615921,39783095509,2.60875,1.18
RestOfWorld,1,488450,31727319483,3.01125,1.185
RestOfWorld,2,507019,32706607696,3.0075,1.2025000000000001
RestOfWorld,3,561430,36162445419,2.9375,1.18
RestOfWorld,4,443135,28098274379,3.1075,1.16875
RestOfWorld,5,510954,32387538818,2.87,1.18
RestOfWorld,6,581384,37531232345,2.53125,1.18625
RestOfWorld,7,480196,29933057210,2.69125,1.16625
RestOfWorld,8,491645,31623438763,2.48125,1.2
RestOfWorld,9,573379,36443697685,3.0,1.17625
RestOfWorld,10,503629,31523473162,4.3675,1.1675
RestOfWorld,11,450290,28635498753,3.1025,1.18875
RestOfWorld,12,522361,34298450893,3.455,1.21375
USA,1,522819,33623934680,3.15625,1.16125
USA,2,475816,30315772125,3.5525,1.17
USA,3,550309,34790373881,2.8475,1.1625
USA,4,476511,30817752247,3.48875,1.18875
USA,5,471032,29374100799,3.40625,1.17
USA,6,598576,38493151956,3.5275,1.18875
USA,7,488063,31241592039,2.0975,1.185
USA,8,444823,28347854843,3.2199999999999998,1.185
USA,9,551618,35188301195,2.93625,1.165
USA,10,477954,30693449427,2.99375,1.16875
USA,11,520526,32941285363,3.06375,1.19
USA,12,521600,33486721873,3.27375,1.17875
